Family,ID,Sex,Treatment,Weight,Size,Eclosion,LastObserved,Death/Removal,Censored,Notes,Lifespan,1st.Trial,1st.Chamber,1st.StartTime,1st.Session,1st.Comments,2nd.Trial,2nd.Chamber,2nd.StartTime,2nd.Session,2nd.Comments,3rd.Trial,3rd.Chamber,3rd.StartTime,3rd.Session,3rd.Comments,Activity,Block
xN,15,F,A,0.1321,4.213333333,06/03/2022,22/06/2022,26/06/2022,1,,112,,,,,,,,,,,,,,,,Waiting,C
xE,8,M,A,0.0934,4.246666667,28/02/2022,11/06/2022,19/06/2022,1,,111,15/03/2022,G,14:00,14,,01/05/2022,D,15:10,111,,03/06/2022,B,08:42,203,,Flight,B
xA,5,M,B,0.2121,5.54,28/02/2022,11/06/2022,19/06/2022,1,,111,,,,,,,,,,,,,,,,Waiting,B
xD,15,M,A,0.0989,4.55,28/02/2022,11/06/2022,19/06/2022,1,,111,,,,,,,,,,,,,,,,Waiting,B
xA,9,F,A,0.094,4.26,28/02/2022,11/06/2022,19/06/2022,1,,111,,,,,,,,,,,,,,,,Waiting,B
xBD,2,F,A,,4.036666667,02/06/2022,17/09/2022,20/09/2022,1,,110,21/06/2022,F,07:25,64,,11/08/2022,A,10:03,157,,31/08/2022,D,13:41,220,,Flight,G
xBK,11,M,A,,5.383333333,02/06/2022,17/09/2022,20/09/2022,1,,110,19/06/2022,D,14:45,62,,03/08/2022,A,12:53,153,,01/09/2022,B,13:24,222,,Flight,G
xBI,8,M,A,,4.386666667,02/06/2022,17/09/2022,20/09/2022,1,,110,12/06/2022,C,09:20,54,,02/08/2022,F,09:50,150,,01/09/2022,A,08:38,221,,Flight,G
xAG,4,F,A,,4.303333333,25/03/2022,09/07/2022,13/07/2022,1,,110,09/04/2022,F,12:50,53,,24/05/2022,C,13:00,134,,28/06/2022,D,09:48,216,,Flight,F
xAK,2,F,A,,4.03,25/03/2022,09/07/2022,13/07/2022,1,,110,05/04/2022,F,11:55,46b,,31/05/2022,C,,139,,24/06/2022,E,11:23,215,,Flight,F
D1AD,6,M,B,0.2247,5.753333333,21/02/2022,08/06/2022,11/06/2022,1,,110,13/03/2022,B,09:48,12,,23/04/2022,F,11:47,102,,,,,,,Flight,A
D1AD,8,M,B,0.1785,5.33,21/02/2022,08/06/2022,11/06/2022,1,,110,07/03/2022,B,12:53,4,,24/04/2022,B,11:20,103,,,,,,,Flight,A
D1AB,4,F,A,0.0729,3.883333333,18/02/2022,04/06/2022,08/06/2022,0,,110,07/03/2022,B,08:30,3,,20/04/2022,B,10:30,101,,,,,,,Flight,A
xBH,11,F,B,,4.976666667,03/06/2022,17/09/2022,20/09/2022,1,,109,22/06/2022,D,12:11,68,,02/08/2022,C,14:32,151,,01/09/2022,D,08:38,221,,Flight,G
xAG,15,F,B,,5.476666667,27/03/2022,09/07/2022,13/07/2022,1,,108,09/04/2022,D,12:50,53,,27/05/2022,C,12:44,136,,28/06/2022,B,09:48,216,,Flight,F
xAH,15,F,B,,5.366666667,27/03/2022,09/07/2022,13/07/2022,1,,108,07/04/2022,G,09:43,50,,29/05/2022,E,10:44,138,,24/06/2022,C,11:23,215,,Flight,F
xP,14,M,A,0.1054,3.99,06/03/2022,19/06/2022,22/06/2022,1,,108,26/03/2022,B,13:36,34,,07/05/2022,E,08:37,119,,09/06/2022,B,11:29,210,,Flight,C
xJ,9,F,B,0.2778,5.42,06/03/2022,19/06/2022,22/06/2022,1,,108,25/03/2022,B,14:44,32,,06/05/2022,G,09:47,117,,11/06/2022,A,13:53,212,,Flight,C
xI,4,F,A,0.1084,4.466666667,06/03/2022,19/06/2022,22/06/2022,1,,108,25/03/2022,A,14:44,32,,11/05/2022,G,09:10,124,,08/06/2022,A,10:09,208,,Flight,C
xO,1,F,A,0.0777,4.22,06/03/2022,19/06/2022,22/06/2022,1,,108,22/03/2022,F,09:04,24,,06/05/2022,G,14:25,118,,04/06/2022,A,10:16,205,,Flight,C
xJ,5,M,A,0.1184,4.056666667,06/03/2022,19/06/2022,22/06/2022,1,,108,19/03/2022,A,09:17,20,,07/05/2022,B,13:24,120,,08/06/2022,D,14:49,209,,Flight,C
xBF,5,F,A,,4.153333333,02/06/2022,13/09/2022,17/09/2022,1,,107,18/06/2022,F,10:13,61,,02/08/2022,A,09:50,150,,31/08/2022,F,13:41,220,,Flight,G
xBB,3,M,A,,3.983333333,02/06/2022,13/09/2022,17/09/2022,1,,107,12/06/2022,E,13:57,55,,11/08/2022,E,10:03,157,,31/08/2022,A,13:41,220,,Flight,G
xAX,7,M,A,,4.376666667,02/06/2022,13/09/2022,17/09/2022,1,,107,,,,,,,,,,,,,,,,Waiting,G
xAD,2,F,A,,3.906666667,15/03/2022,26/06/2022,29/06/2022,1,,106,31/03/2022,E,11:30,40,,21/05/2022,E,11:44,133,,16/06/2022,D,15:00,214,,Flight,E
xE,2,M,B,0.259,5.823333333,28/02/2022,11/06/2022,14/06/2022,1,,106,20/03/2022,C,08:38,22,,30/04/2022,F,16:05,109,,01/06/2022,A,,201,,Flight,B
xF,3,F,A,0.082,4.043333333,28/02/2022,11/06/2022,14/06/2022,1,,106,17/03/2022,F,09:11,16,,29/04/2022,F,10:03,106,,03/06/2022,A,13:01,204,,Flight,B
D1AB,3,M,A,0.0757,4.003333333,18/02/2022,01/06/2022,04/06/2022,1,,106,07/03/2022,E,08:30,3,,23/04/2022,E,11:47,102,,,,,,,Flight,A
xM,9,M,B,0.2161,5.54,06/03/2022,11/06/2022,19/06/2022,1,,105,26/03/2022,E,13:36,34,,10/05/2022,C,15:50,123,,04/06/2022,A,14:54,206,,Flight,C
xM,12,M,B,0.1917,5.4,06/03/2022,11/06/2022,19/06/2022,1,,105,26/03/2022,D,13:36,34,,05/05/2022,F,12:47,116,,04/06/2022,B,10:16,205,,Flight,C
xN,13,F,A,0.1343,4.403333333,06/03/2022,11/06/2022,19/06/2022,1,,105,24/03/2022,F,14:16,30,,12/05/2022,C,09:29,125,,08/06/2022,E,10:09,208,,Flight,C
xM,4,M,A,0.1013,3.93,06/03/2022,11/06/2022,19/06/2022,1,,105,24/03/2022,D,09:15,29,,07/05/2022,F,08:37,119,,09/06/2022,D,11:29,210,,Flight,C
xP,10,M,A,0.1028,3.846666667,06/03/2022,11/06/2022,19/06/2022,1,,105,23/03/2022,F,13:25,28,,12/05/2022,D,09:29,125,,08/06/2022,D,10:09,208,,Flight,C
xL,3,M,B,0.1978,5.27,06/03/2022,11/06/2022,19/06/2022,1,,105,22/03/2022,C,13:25,26,,07/05/2022,B,08:37,119,,09/06/2022,E,11:29,210,,Flight,C
xT,3,M,B,,5.406666667,09/03/2022,19/06/2022,22/06/2022,1,,105,22/03/2022,A,09:04,24,,08/05/2022,E,13:00,121,,08/06/2022,B,14:49,209,,Flight,D
xJ,11,F,B,0.3193,5.64,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xJ,8,M,B,0.2184,5.606666667,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xK,13,M,B,0.27,5.606666667,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xO,10,M,B,0.1856,5.563333333,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xK,18,F,B,0.2703,5.503333333,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xK,10,F,B,0.283,5.363333333,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xK,11,M,B,0.246,5.346666667,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xK,19,M,B,0.2297,5.26,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,08/06/2022,E,14:49,209,,Flight,C
xM,7,M,B,0.2332,5.153333333,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xJ,12,M,B,0.1958,5.116666667,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xN,16,M,A,0.1015,4.626666667,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xK,7,M,A,0.1144,4.28,06/03/2022,11/06/2022,19/06/2022,1,,105,,,,,,,,,,,,,,,,Waiting,C
xAB,8,F,B,,5.333333333,17/03/2022,26/06/2022,29/06/2022,1,,104,01/04/2022,C,08:50,42,,17/05/2022,B,,129,SHORT + INJURED WINGS,16/06/2022,G,10:30,213,,Flight,E
xAE,3,M,B,,5.406666667,15/03/2022,22/06/2022,26/06/2022,1,,103,02/04/2022,C,14:05,45,,14/05/2022,E,08:50,127,,,,,,,Flight,E
xY,3,F,A,,5.096666667,15/03/2022,22/06/2022,26/06/2022,1,,103,31/03/2022,B,11:30,40,,18/05/2022,A,09:01,130,,16/06/2022,C,10:30,213,,Flight,E
xBF,2,M,A,,4.33,02/06/2022,10/09/2022,13/09/2022,1,,103,,,,,,,,,,,,,,,,Waiting,G
xAH,7,M,A,,3.956666667,25/03/2022,03/07/2022,06/07/2022,1,,103,,,,,,,,,,,,,,,,Waiting,F
xT,11,M,A,,3.8,09/03/2022,11/06/2022,19/06/2022,1,,102,29/03/2022,G,14:15,37,,11/05/2022,C,09:10,124,,07/06/2022,D,15:10,207,,Flight,D
xT,9,M,A,,4.046666667,09/03/2022,11/06/2022,19/06/2022,1,,102,23/03/2022,D,08:47,27,,11/05/2022,E,09:10,124,,07/06/2022,G,15:10,207,,Flight,D
xT,4,F,B,,5.043333333,09/03/2022,11/06/2022,19/06/2022,1,,102,22/03/2022,B,09:04,24,,08/05/2022,D,13:00,121,,07/06/2022,E,15:10,207,,Flight,D
xQ,5,M,B,,4.993333333,09/03/2022,11/06/2022,19/06/2022,1,,102,,,,,,,,,,,,,,,,Waiting,D
xAW,2,F,B,,5.546666667,02/06/2022,06/09/2022,10/09/2022,1,,100,12/06/2022,D,09:20,54,,06/08/2022,F,10:53,155,,31/08/2022,E,13:41,220,,Flight,G
xH,5,M,B,0.1471,5.083333333,28/02/2022,04/06/2022,08/06/2022,1,,100,12/03/2022,A,08:38,10,,04/05/2022,A,09:47,114,,01/06/2022,F,,201,,Flight,B
xB,14,M,A,0.1767,5.383333333,28/02/2022,04/06/2022,08/06/2022,1,,100,11/03/2022,F,14:30,9,,29/04/2022,A,14:37,107,,03/06/2022,E,13:01,204,,Flight,B
xAH,8,F,A,,4.03,25/03/2022,29/06/2022,03/07/2022,1,,100,,,,,,,,,,,,,,,,Waiting,F
xBG,12,M,B,,5.6,03/06/2022,06/09/2022,10/09/2022,1,,99,20/06/2022,F,10:00,63,,11/08/2022,G,10:03,157,,01/09/2022,E,08:38,221,,Flight,G
xY,1,M,B,,5.076666667,15/03/2022,19/06/2022,22/06/2022,1,,99,03/04/2022,D,10:16,46,,19/05/2022,B,09:33,131,,16/06/2022,F,15:00,214,,Flight,E
D1AC,2,F,A,0.1097,5.623333333,18/02/2022,24/05/2022,28/05/2022,1,,99,05/03/2022,D,16:40,2,,26/04/2022,F,10:00,104,,,,,,,Flight,A
xAD,12,F,B,,5.76,15/03/2022,19/06/2022,22/06/2022,1,,99,,,,,,,,,,,,,,,,Waiting,E
xAD,6,F,A,,4.963333333,15/03/2022,19/06/2022,22/06/2022,1,,99,,,,,,,,,,,,,,,,Waiting,E
xAJ,13,M,B,,5.406666667,27/03/2022,29/06/2022,03/07/2022,1,,98,,,,,,,,,,,,,,,,Waiting,F
xP,2,M,B,0.1832,4.723333333,06/03/2022,08/06/2022,11/06/2022,1,,97,26/03/2022,A,09:02,33,,06/05/2022,F,14:25,118,,10/06/2022,A,10:43,211,,Flight,C
xN,8,F,B,0.2744,5.483333333,06/03/2022,08/06/2022,11/06/2022,1,,97,24/03/2022,B,14:16,30,,05/05/2022,E,12:47,116,,04/06/2022,C,10:16,205,,Flight,C
xO,7,F,B,0.1592,5.126666667,06/03/2022,08/06/2022,11/06/2022,1,,97,,,,,,,,,,,,,,,,Waiting,C
xZ,6,F,A,,4.306666667,15/03/2022,11/06/2022,19/06/2022,1,,96,29/03/2022,F,09:30,36,,19/05/2022,E,09:33,131,,16/06/2022,F,10:30,213,,Flight,E
xB,6,F,B,0.2252,5.606666667,28/02/2022,01/06/2022,04/06/2022,1,,96,17/03/2022,D,14:48,17,,04/05/2022,C,15:47,115,,31/05/2022,B,,200,,Flight,B
xD,14,F,A,0.0991,4.576666667,28/02/2022,01/06/2022,04/06/2022,1,,96,17/03/2022,G,09:11,16,,04/05/2022,C,09:47,114,EXTENDED WINGS,31/05/2022,D,,200,,Flight,B
xF,6,F,B,0.1082,4.39,28/02/2022,01/06/2022,04/06/2022,1,,96,13/03/2022,G,09:48,12,,01/05/2022,F,15:10,111,,31/05/2022,G,,200,,Flight,B
xC,9,M,B,0.2991,5.986666667,28/02/2022,01/06/2022,04/06/2022,1,,96,11/03/2022,F,09:12,8,,01/05/2022,E,15:10,111,,31/05/2022,F,,200,,Flight,B
xF,11,M,B,0.1892,5.153333333,28/02/2022,01/06/2022,04/06/2022,1,MALFORMED,96,,,,,,,,,,,,,,,,Waiting,B
xBE,11,M,A,,4.263333333,03/06/2022,03/09/2022,06/09/2022,1,,95,15/06/2022,D,09:53,57,,04/08/2022,G,08:30,154,,01/09/2022,A,13:24,222,,Flight,G
xS,1,M,A,,3.91,09/03/2022,08/06/2022,11/06/2022,1,,94,20/03/2022,A,12:56,23,,10/05/2022,F,15:50,123,,07/06/2022,F,15:10,207,,Flight,D
xI,5,M,A,0.1202,4.59,06/03/2022,04/06/2022,08/06/2022,1,,94,17/03/2022,A,14:48,17,,11/05/2022,F,09:10,124,,04/06/2022,G,14:54,206,,Flight,C
xAF,11,M,B,,5.346666667,17/03/2022,11/06/2022,19/06/2022,1,,94,,,,,,,,,,,,,,,,Waiting,E
xE,13,F,A,0.097,4.44,28/02/2022,31/05/2022,01/06/2022,1,,93,15/03/2022,B,14:00,14,,,,,,,31/05/2022,C,,200,,Flight,B
xE,9,F,A,0.1172,4.44,28/02/2022,31/05/2022,01/06/2022,1,,93,13/03/2022,D,14:09,13,,29/04/2022,E,10:03,106,,,,,,,Flight,B
xG,5,F,A,0.1064,4.196666667,28/02/2022,28/05/2022,01/06/2022,1,,93,,,,,,,,,,,,,,,,Waiting,B
xB,13,F,A,0.1884,5.07,28/02/2022,28/05/2022,31/05/2022,1,,92,20/03/2022,D,12:56,23,,30/04/2022,E,16:05,109,,,,,,,Flight,B
xE,1,M,B,0.2413,5.613333333,28/02/2022,28/05/2022,31/05/2022,1,,92,15/03/2022,A,14:00,14,,30/04/2022,G,16:05,109,,,,,,,Flight,B
xT,7,M,B,,5.023333333,09/03/2022,04/06/2022,08/06/2022,1,,91,23/03/2022,A,08:47,27,,13/05/2022,D,09:54,126,,,,,,,Flight,D
xS,2,F,A,,4.226666667,09/03/2022,04/06/2022,08/06/2022,1,,91,,,,,,,,,,,,,,,,Waiting,D
xBE,14,M,A,,4.133333333,03/06/2022,30/08/2022,01/09/2022,1,,90,22/06/2022,G,12:11,68,,03/08/2022,A,08:34,152,,,,,,,Flight,G
xN,4,F,B,0.2742,5.473333333,06/03/2022,01/06/2022,04/06/2022,1,,90,19/03/2022,C,09:17,20,,13/05/2022,E,09:54,126,EXTENDED WINGS,04/06/2022,F,14:54,206,,Flight,C
xN,1,M,B,0.2754,5.363333333,06/03/2022,01/06/2022,04/06/2022,1,,90,,,,,,,,,,,,,,,,Waiting,C
xK,9,M,A,0.1324,4.416666667,06/03/2022,01/06/2022,04/06/2022,1,MALFORMED,90,,,,,,,,,,,,,,,,Waiting,C
xK,4,M,A,0.1262,4.25,06/03/2022,01/06/2022,04/06/2022,1,,90,,,,,,,,,,,,,,,,Waiting,C
xM,6,F,A,0.0933,3.9,06/03/2022,01/06/2022,04/06/2022,1,,90,,,,,,,,,,,,,,,,Waiting,C
xBC,6,F,A,,4.116666667,02/06/2022,27/08/2022,30/08/2022,1,,89,21/06/2022,B,11:49,65,,03/08/2022,F,12:53,153,,,,,,,Flight,G
xBG,3,M,A,,4.003333333,02/06/2022,27/08/2022,30/08/2022,1,,89,21/06/2022,C,11:49,65,,04/08/2022,F,08:30,154,,,,,,,Flight,G
xAI,3,F,A,,4.073333333,25/03/2022,19/06/2022,22/06/2022,1,,89,08/04/2022,G,14:28,52,,24/05/2022,E,13:00,134,,,,,,,Flight,F
xAK,4,F,A,,3.91,25/03/2022,19/06/2022,22/06/2022,1,,89,06/04/2022,B,09:40,49,,26/05/2022,A,09:43,135,,,,,,,Flight,F
xA,4,M,B,0.2137,5.593333333,28/02/2022,24/05/2022,28/05/2022,1,,89,20/03/2022,G,08:38,22,,30/04/2022,B,16:05,109,EXTENDED WINGS,,,,,,Flight,B
xD,12,F,A,0.0992,4.23,28/02/2022,24/05/2022,28/05/2022,1,,89,20/03/2022,F,08:38,22,,01/05/2022,F,10:09,110,,,,,,,Flight,B
xB,15,M,A,0.2102,5.62,28/02/2022,24/05/2022,28/05/2022,1,,89,11/03/2022,E,14:30,9,,30/04/2022,B,10:30,108,,,,,,,Flight,B
xAF,1,F,A,,4.866666667,15/03/2022,08/06/2022,11/06/2022,1,,88,01/04/2022,D,13:30,43,,21/05/2022,B,11:44,133,,,,,,,Flight,E
xAB,2,M,A,,5.11,15/03/2022,08/06/2022,11/06/2022,1,,88,31/03/2022,C,16:11,41,,14/05/2022,F,08:50,127,,,,,,,Flight,E
xP,7,F,B,0.1256,4.196666667,06/03/2022,28/05/2022,01/06/2022,1,,87,26/03/2022,B,09:02,33,,12/05/2022,E,09:29,125,,,,,,,Flight,C
xJ,3,F,A,0.1592,4.44,06/03/2022,28/05/2022,01/06/2022,1,,87,25/03/2022,E,14:44,32,,10/05/2022,E,11:12,122,,,,,,,Flight,C
xL,8,F,A,0.0938,4.096666667,06/03/2022,28/05/2022,01/06/2022,1,,87,25/03/2022,D,10:20,31,,07/05/2022,E,13:24,120,,,,,,,Flight,C
xI,1,M,A,0.1144,4.583333333,06/03/2022,28/05/2022,01/06/2022,1,,87,23/03/2022,E,08:47,27,,08/05/2022,B,13:00,121,,,,,,,Flight,C
xM,8,F,B,0.1814,5.223333333,06/03/2022,28/05/2022,01/06/2022,1,,87,,,,,,,,,,,,,,,,Waiting,C
xS,10,F,B,,5.186666667,09/03/2022,01/06/2022,04/06/2022,1,,87,,,,,,,,,,,,,,,,Waiting,D
xS,9,M,B,,4.633333333,09/03/2022,01/06/2022,04/06/2022,1,,87,,,,,,,,,,,,,,,,Waiting,D
xS,7,M,B,,4.203333333,09/03/2022,01/06/2022,04/06/2022,1,,87,,,,,,,,,,,,,,,,Waiting,D
xP,1,F,B,0.1232,4.13,06/03/2022,28/05/2022,01/06/2022,1,,87,,,,,,,,,,,,,,,,Waiting,C
xS,14,M,B,,4.123333333,09/03/2022,01/06/2022,04/06/2022,1,,87,,,,,,,,,,,,,,,,Waiting,D
xP,12,M,A,0.0621,3.416666667,06/03/2022,28/05/2022,01/06/2022,1,MALFORMED,87,,,,,,,,,,,,,,,,Waiting,C
xAX,8,M,A,,4.196666667,02/06/2022,24/08/2022,27/08/2022,1,,86,20/06/2022,G,10:00,63,,04/08/2022,A,08:30,154,,,,,,,Flight,G
xAW,1,M,B,,5.256666667,02/06/2022,24/08/2022,27/08/2022,1,,86,12/06/2022,E,09:20,54,,06/08/2022,G,10:53,155,,,,,,,Flight,G
xAH,2,F,A,,4.216666667,25/03/2022,11/06/2022,19/06/2022,1,,86,08/04/2022,G,09:40,51,,24/05/2022,D,13:00,134,,,,,,,Flight,F
xAK,3,M,A,,3.703333333,25/03/2022,11/06/2022,19/06/2022,1,,86,05/04/2022,G,11:55,46b,,29/05/2022,A,10:44,138,,,,,,,Flight,F
xE,3,F,B,0.273,5.683333333,28/02/2022,21/05/2022,25/05/2022,1,,86,20/03/2022,A,08:38,22,,01/05/2022,A,15:10,111,,,,,,,Flight,B
xH,3,M,A,0.1082,4.18,28/02/2022,21/05/2022,25/05/2022,1,,86,20/03/2022,D,08:36,22,,29/04/2022,D,14:37,107,,,,,,,Flight,B
xD,8,F,B,0.2351,5.54,28/02/2022,21/05/2022,25/05/2022,1,,86,18/03/2022,G,09:12,18,,04/05/2022,B,09:47,114,,,,,,,Flight,B
xE,10,F,A,0.1154,4.7,28/02/2022,21/05/2022,25/05/2022,1,,86,13/03/2022,E,14:09,13,,29/04/2022,D,10:03,106,,,,,,,Flight,B
xH,11,M,B,0.168,4.993333333,28/02/2022,21/05/2022,25/05/2022,1,,86,12/03/2022,C,08:38,10,,30/04/2022,C,10:30,108,,,,,,,Flight,B
xC,10,F,B,0.2506,5.563333333,28/02/2022,21/05/2022,25/05/2022,1,,86,11/03/2022,E,09:12,8,,29/04/2022,G,14:37,107,,,,,,,Flight,B
xC,6,F,A,0.1723,5.146666667,28/02/2022,21/05/2022,25/05/2022,1,,86,10/03/2022,A,14:05,7,,03/05/2022,D,,112,INJURED WINGS,,,,,,Flight,B
xA,10,M,A,0.1337,4.72,28/02/2022,21/05/2022,25/05/2022,1,,86,,,,,,,,,,,,,,,,Waiting,B
xAH,9,F,A,,4.383333333,25/03/2022,11/06/2022,19/06/2022,1,,86,,,,,,,,,,,,,,,,Waiting,F
xAG,8,F,A,,4.243333333,25/03/2022,11/06/2022,19/06/2022,1,,86,,,,,,,,,,,,,,,,Waiting,F
xBF,6,M,A,,3.24,02/06/2022,24/08/2022,27/08/2022,1,,86,,,,,,,,,,,,,,,,Waiting,G
xBK,7,M,B,,3.563333333,03/06/2022,24/08/2022,27/08/2022,1,,85,17/06/2022,A,15:55,60,,06/08/2022,B,10:53,155,,,,,,,Flight,G
xAY,1,M,A,,4.273333333,03/06/2022,24/08/2022,27/08/2022,1,,85,17/06/2022,F,10:36,59,,11/08/2022,C,10:03,157,,,,,,,Flight,G
xAB,3,F,A,,4.78,15/03/2022,04/06/2022,08/06/2022,1,,85,31/03/2022,B,16:11,41,,14/05/2022,G,08:50,127,,,,,,,Flight,E
xAD,1,M,A,,4.193333333,15/03/2022,04/06/2022,08/06/2022,1,,85,31/03/2022,F,11:30,40,,18/05/2022,B,09:01,130,,,,,,,Flight,E
xZ,5,M,A,,4.393333333,15/03/2022,04/06/2022,08/06/2022,1,,85,29/03/2022,E,09:30,36,,14/05/2022,D,14:20,128,,,,,,,Flight,E
D1AD,10,M,B,0.2333,5.636666667,21/02/2022,14/05/2022,17/05/2022,1,,85,09/03/2022,E,13:25,6,,23/04/2022,G,11:47,102,,,,,,,Flight,A
D1AC,7,M,B,0.2575,5.846666667,21/02/2022,14/05/2022,17/05/2022,1,,85,07/03/2022,C,08:30,3,,26/04/2022,A,10:00,104,,,,,,,Flight,A
